id,m,p,n
1.0,0.02762619475451454,0.4900662251655629,604.0
2.0,1.2200977275914013,0.07579787234042554,752.0
3.0,0.5362453291364617,0.30268199233716475,522.0
4.0,0.16007294067651073,0.444141689373297,734.0
5.0,1.2538181471273189,0.05813953488372093,688.0
6.0,-0.009904367381691223,0.5036101083032491,554.0
7.0,0.9006031024932083,0.19855967078189302,972.0
8.0,-0.711769978772886,0.7464424320827943,773.0
9.0,0.9221116164533391,0.17553956834532375,695.0
10.0,0.6424369364020437,0.2727272727272727,671.0
11.0,-0.4362310848459347,0.6619433198380567,494.0
12.0,0.5922417224513667,0.2844364937388193,559.0
13.0,0.025406788315371576,0.49113233287858116,733.0
14.0,1.0822472011518711,0.11424100156494522,639.0
15.0,1.0634900253974704,0.1067193675889328,506.0
16.0,0.6463927716961583,0.25565610859728505,442.0
17.0,-0.3388943987434511,0.6218905472636815,603.0
18.0,-0.4453792814259567,0.6600660066006601,606.0
19.0,0.024390772198433844,0.49113475177304966,564.0
20.0,1.134266483900492,0.055865921787709494,358.0
21.0,0.8915578957910013,0.13793103448275862,290.0
22.0,-0.09161840057304729,0.5343347639484979,466.0
23.0,0.7596617607474893,0.22262773722627738,548.0
24.0,0.7472162408469466,0.1958041958041958,286.0
25.0,1.03462788095419,0.10961968680089486,447.0
26.0,0.5802660787097847,0.27764127764127766,407.0
27.0,1.2763341080560966,0.0,357.0
28.0,1.2600798157964976,0.05473372781065089,676.0
29.0,1.0182311575076846,0.12248995983935743,498.0
30.0,0.9334876448558838,0.1617391304347826,575.0
31.0,0.18625813823759982,0.43288590604026844,596.0
32.0,0.14496327128530084,0.44029850746268656,268.0
33.0,0.12019754501575716,0.4581081081081081,740.0
34.0,-0.3648375561484653,0.6332116788321168,548.0
35.0,1.0706744833947792,0.11051693404634581,561.0
36.0,-0.5163776797948025,0.7048192771084337,332.0
37.0,0.749689006406339,0.22986577181208054,596.0
38.0,-0.2716516719025196,0.6003937007874016,508.0
39.0,0.8036468710447815,0.22875816993464052,918.0
40.0,0.7209700067242091,0.23867595818815332,574.0
41.0,1.2951044508282747,0.06357758620689655,928.0
42.0,1.279354285266583,0.0,362.0
43.0,0.7959440427893626,0.20212765957446807,470.0
44.0,0.8218742398100078,0.18850574712643678,435.0
45.0,0.5956420981275894,0.2647058823529412,340.0
46.0,0.6681561312581791,0.22661870503597123,278.0
47.0,0.6781624254068028,0.25,516.0
48.0,0.9622691764992196,0.13170731707317074,410.0
49.0,0.9365908664733863,0.15630885122410546,531.0
50.0,1.1624084572705367,0.06437768240343347,466.0
51.0,0.5313469282166177,0.30570902394106814,543.0
52.0,0.9543671710615147,0.13054830287206268,383.0
53.0,1.1206474690248789,0.06284153005464481,366.0
54.0,0.7753332384383915,0.17938931297709923,262.0
55.0,-0.29562996671012404,0.6192052980132451,302.0
56.0,0.8489164250576008,0.16759776536312848,358.0
57.0,0.03459360850212465,0.4854771784232365,241.0
58.0,-0.7133751471072276,0.7793296089385475,358.0
59.0,-0.6075504780301336,0.7435897435897436,312.0
60.0,0.27118072290411904,0.4,515.0
61.0,-0.49592699609758306,0.725,160.0
62.0,-0.06295897429391216,0.5240384615384616,416.0
