id,Date,Rank,Series,W_L,Win,Loss,Forfeit,Absence,Winrate,Streak(Wins)
5332,1914-01-01,J8e,FLFLLLLFF,0-5-1a,0,5,4,0,0.0,N
5332,1917-01-01,J15w,LFLFWFLFWF,2-3,2,3,5,0,20.0,N
5944,2004-03-01,Jk28w,LFLFWFWFFWFWFFL,4-3,4,3,8,0,57.14,N
5944,2004-05-01,Jd105e,WFFWWFWFFWFLWFF,6-1,6,1,8,0,85.71,N
5944,2004-07-01,Jd25w,WFFWFLFWFLFWFFW,5-2,5,2,8,0,71.43,N
5944,2004-09-01,Sd87e,FLWFWFLFLFFLLFF,2-5,2,5,8,0,28.57,N
5944,2004-11-01,Jd10e,FWWFFWLFFWLFFFW,5-2,5,2,8,0,71.43,N
5944,2005-01-01,Sd74w,FLFLWFWFFWFWFWF,5-2,5,2,8,0,71.43,N
5944,2005-03-01,Sd47e,FWLFFLFWWFFWFFL,4-3,4,3,8,0,57.14,N
5944,2005-05-01,Sd34e,FWLFWFFWWFWFFWF,6-1,6,1,8,0,85.71,N
5944,2005-07-01,Ms51e,FWFLFLFLFLFWFWF,3-4,3,4,8,0,42.86,N
5944,2005-09-01,Sd8w,WFLFWFFWFWWFFLF,5-2,5,2,8,0,71.43,N
5944,2005-11-01,Ms46e,WFFWLFFLWFLFFWF,4-3,4,3,8,0,57.14,N
5944,2006-01-01,Ms36w,FWFLLFLFLFWFWFF,3-4,3,4,8,0,42.86,N
5944,2006-03-01,Ms45e,WFWFFLFLWFLFFWF,4-3,4,3,8,0,57.14,N
5944,2006-05-01,Ms35w,FWFLFLLFFWFWFWF,4-3,4,3,8,0,57.14,N
5944,2006-07-01,Ms28w,FLFLLFFWFWFLFFW,3-4,3,4,8,0,42.86,N
5944,2006-09-01,Ms37e,LFFLFWWFWFFWFWF,5-2,5,2,8,0,71.43,N
5944,2006-11-01,Ms23w,FLLFFWFLLFFWFFW,3-4,3,4,8,0,42.86,N
5944,2007-01-01,Ms31e,FLFLLFFLWFFWFFW,3-4,3,4,8,0,42.86,N
5944,2007-03-01,Ms43e,WFWFWFLFFWLFFFW,5-2,5,2,8,0,71.43,N
5944,2007-05-01,Ms31e,FWWFLFFWFWFLFLF,4-3,4,3,8,0,57.14,N
5944,2007-07-01,Ms23w,FWLFFWFLFLFLWFF,3-4,3,4,8,0,42.86,N
5944,2007-09-01,Ms32w,FWFWWFFWWFWFWFF,7-0 Y,7,0,8,0,100.0,N
5944,2007-11-01,Ms2w,FWLFWFLFWFLWFFF,4-3,4,3,8,0,57.14,N
5944,2008-01-01,J13w,LWWWWWWLWLWLWWL,10-5,10,5,0,0,66.67,Y
5944,2008-03-01,J7e,WWLLLWLLLWWWWWW,9-6,9,6,0,0,60.0,Y
5944,2008-05-01,J2e,LWWLWWWLLWWWLLL,8-7,8,7,0,0,53.33,N
5944,2008-07-01,J1e,WWLWLWLLWLLWWWW,9-6,9,6,0,0,60.0,Y
5944,2008-09-01,M15e,LWLWWLLWLLLLLLL,4-11,4,11,0,0,26.67,N
5944,2008-11-01,J4w,WWWWWWWLLWWLLWL,10-5,10,5,0,0,66.67,Y
5944,2009-01-01,M13e,LWLLWWLWWLLWLLW,7-8,7,8,0,0,46.67,N
5944,2009-03-01,M14e,LLWWWWLWWLLWLWW,9-6,9,6,0,0,60.0,Y
5944,2009-05-01,M8w,LWWLLLWWLWLWLLL,6-9,6,9,0,0,40.0,N
5944,2009-07-01,M11w,LWLLLWLLLLWLWLW,5-10,5,10,0,0,33.33,N
5944,2009-09-01,J1e,WLLWWWWWWWWLLWW,11-4 Y,11,4,0,0,73.33,Y
5944,2009-11-01,M11e,WLWLWWLWWWWLWWL,10-5,10,5,0,0,66.67,Y
5944,2010-01-01,M7e,LWLWWWWWLLWLWLL,8-7,8,7,0,0,53.33,Y
5944,2010-03-01,M4e,LWLWWLLLLLLWLWL,5-10,5,10,0,0,33.33,N
5944,2010-05-01,M7e,LLLWLLLWLLLLWLL,3-12,3,12,0,0,20.0,N
5944,2010-07-01,M14e,WLLLLLWWLWWWLLW,7-8,7,8,0,0,46.67,N
5944,2010-09-01,M14w,LLLWWWWWWWWLWLW,10-5,10,5,0,0,66.67,Y
5944,2010-11-01,M8e,WLWLWWWWLWLWWLL,9-6,9,6,0,0,60.0,Y
5944,2011-01-01,M3w,WLLWLWLLLWWLLLL,5-10,5,10,0,0,33.33,N
5944,2011-05-01,M6e,LLWLWWWLWLLLLWW,7-8,7,8,0,0,46.67,N
5944,2011-07-01,M6e,LLLWLLLWLWLLWLW,5-10,5,10,0,0,33.33,N
5944,2011-09-01,M10e,LLWLWWLLWLLWWLL,6-9,6,9,0,0,40.0,N
5944,2011-11-01,M13e,LLWLLLWWLLLLLWW,5-10,5,10,0,0,33.33,N
5944,2012-01-01,J1e,LWLWWWLWWLWWLWL,9-6,9,6,0,0,60.0,N
5944,2012-03-01,M15e,WWLWWLLWLWWLLLL,7-8,7,8,0,0,46.67,N
5944,2012-05-01,M15w,WLWWWWLWWWLLLLL,8-7,8,7,0,0,53.33,Y
5944,2012-07-01,M11e,LWLLLLLLLWLLWWL,4-11,4,11,0,0,26.67,N
5944,2012-09-01,J2e,WLWWWLWWWWLLWLL,9-6,9,6,0,0,60.0,Y
5944,2012-11-01,M16e,LWWWLLLWWWLWLWW,9-6,9,6,0,0,60.0,N
5944,2013-01-01,M12w,WLLWLLWLLWWWLWW,8-7,8,7,0,0,53.33,N
5944,2013-03-01,M10w,LLWLLLLLLWWLWLL,4-11,4,11,0,0,26.67,N
5944,2013-05-01,J1e,WLWWLWWWLWWWWWL,11-4,11,4,0,0,73.33,Y
5944,2013-07-01,M13e,WWLLLLWWLLLWLLL,5-10,5,10,0,0,33.33,N
5944,2013-09-01,M16w,WWWLLWLLWLWWWLW,9-6,9,6,0,0,60.0,N
5944,2013-11-01,M11w,LWLWLLWWLWWWWWW,10-5,10,5,0,0,66.67,Y
5944,2014-01-01,M6e,WLWWLWLWLWWWLLL,8-7,8,7,0,0,53.33,N
5944,2014-03-01,M1w,LLLLLLLWWLWLLWW,5-10,5,10,0,0,33.33,N
5944,2014-05-01,M6w,WLLLLLWWWWWLWWL,8-7,8,7,0,0,53.33,Y
5944,2014-07-01,M4e,LWLWLLLLLLLLWLL,3-12,3,12,0,0,20.0,N
5944,2014-09-01,M9e,WLLLWLLLLWWWWLW,7-8,7,8,0,0,46.67,Y
5944,2014-11-01,M10w,LLWWWLLWLLWWWLW,8-7,8,7,0,0,53.33,N
5944,2015-01-01,M9e,WLWLWLWWWWWLWWL,10-5,10,5,0,0,66.67,Y
5944,2015-03-01,K1e,LLLWWLLWLLWLLLL,4-11,4,11,0,0,26.67,N
5944,2015-05-01,M5w,WLLLWLLLWWLLLWW,6-9,6,9,0,0,40.0,N
5944,2015-07-01,M7e,WLWLLLLWLWWWWWL,8-7,8,7,0,0,53.33,Y
5944,2015-09-01,M5e,WWLLLLLLWLLLLLW,4-11,4,11,0,0,26.67,N
5944,2015-11-01,M9e,LWLWWLLWLLLWWWW,8-7,8,7,0,0,53.33,Y
5944,2016-01-01,M7w,LLWLWLLLLWLWLWL,5-10,5,10,0,0,33.33,N
5944,2016-03-01,M10w,LWLWLWWLWWLWWLW,9-6,9,6,0,0,60.0,N
5944,2016-05-01,M6w,LLWLLWLLWLLLLLW,4-11,4,11,0,0,26.67,N
5944,2016-07-01,M12e,LLWWWLLWWLWWLWW,9-6,9,6,0,0,60.0,N
5944,2016-09-01,M6w,LWLWLWWWWWWWLLW,10-5,10,5,0,0,66.67,Y
5944,2016-11-01,K1w,WLWLWWWLWWLLWWW,10-5,10,5,0,0,66.67,N
5944,2017-01-01,S1e,WLWWWLLWLWLWWWL,9-6,9,6,0,0,60.0,N
5944,2017-03-01,S1e,WLLWWWWLLLLWWWL,8-7,8,7,0,0,53.33,Y
5944,2017-05-01,S1e,WWLLWWWWLWWWLLW,10-5,10,5,0,0,66.67,Y
5944,2017-07-01,S1e,WWLWLWLLWLWLLWL,7-8,7,8,0,0,46.67,N
5944,2017-09-01,K1e,LWLWLLWLLWWLWWL,7-8,7,8,0,0,46.67,N
5944,2017-11-01,M1e,WLWLWWWWWLWLWWW,11-4 J,11,4,0,0,73.33,Y
5944,2018-01-01,S1w,WWLLLLLWLLWLWLW,6-9,6,9,0,0,40.0,N
5944,2018-03-01,M1w,WWLLLWWLWLWWLWW,9-6,9,6,0,0,60.0,N
5944,2018-05-01,M1e,LLLWLWLWLLWWWWW,8-7,8,7,0,0,53.33,Y
5944,2018-07-01,K1e,LLWLWWWWLWLWWLL,8-7,8,7,0,0,53.33,Y
5944,2018-09-01,K1e,LLLLLLLWLWWLLLW,4-11,4,11,0,0,26.67,N
5944,2018-11-01,M2w,WLWLWLWLWWWLWWL,9-6,9,6,0,0,60.0,N
5944,2019-01-01,S1w,WWLWLWWWWWWWWWW,13-2 Y,13,2,0,0,86.67,Y
5944,2019-03-01,S1w,WLLLWWWLLLLWLLL,5-10,5,10,0,0,33.33,N
5944,2019-05-01,M3w,LLWLWWLWWWWWWWL,10-5,10,5,0,0,66.67,Y
5944,2019-07-01,S1w,LLLLLWLLLLLWWWW,5-10,5,10,0,0,33.33,Y
5944,2019-09-01,M4e,WWLLWWLWLLWWLLL,7-8,7,8,0,0,46.67,N
5944,2019-11-01,M4e,WWLLWWLLLWWLWLW,8-7,8,7,0,0,53.33,N
5944,2020-01-01,M3e,WLWLLLLLLWLLLWW,5-10,5,10,0,0,33.33,N
5944,2020-03-01,M7w,WLLLLLWLLWLLWWW,6-9,6,9,0,0,40.0,N
5944,2020-07-01,M9e,WWWLWWLWLWWLWLW,10-5,10,5,0,0,66.67,N
5944,2020-09-01,M2w,WLWLLLWLWWLLLLL,5-10,5,10,0,0,33.33,N
5944,2020-11-01,M6w,WLWLWWWLWLLLWWL,8-7,8,7,0,0,53.33,N
5944,2021-01-01,M4w,LLWWWWLWLLLLLLW,6-9,6,9,0,0,40.0,Y
5944,2021-03-01,M6e,LWWLWLWWLLLLLLL,5-10,5,10,0,0,33.33,N
5967,2004-03-01,Jk27w,FWFWWFFWWFFWWFF,7-0 Y,7,0,8,0,100.0,N
5967,2004-05-01,Jd23e,WFFWFWFLWFWFWFF,6-1,6,1,8,0,85.71,N
5967,2004-07-01,Sd60w,WFFWFWFLFWFWFWF,6-1,6,1,8,0,85.71,N
5967,2004-09-01,Sd6e,FWFWWFFWFWFWWFF,7-0 Y,7,0,8,0,100.0,N
5967,2004-11-01,Ms11w,LFFLWFFWFLFLFWF,3-4,3,4,8,0,42.86,N
5967,2005-01-01,Ms16w,FWFWFWFWWFLFFWF,6-1,6,1,8,0,85.71,N
5967,2005-03-01,Ms5w,WFWFLFWFLFLFFWF,4-3,4,3,8,0,57.14,N
5967,2005-05-01,Ms3e,FWWLFFWFLFWFFFW,5-2,5,2,8,0,71.43,N
5967,2005-07-01,J13w,WWWWWLWLWWLWWLF,10-4-1,10,4,1,0,71.43,Y
5967,2005-09-01,J7w,WLWWWLLWWWWLLLL,8-7,8,7,0,0,53.33,Y
5967,2005-11-01,J5w,WWLWLLWWWWWLLWW,10-5,10,5,0,0,66.67,Y
5967,2006-01-01,M13w,LLLLWWLWLLWLLWL,5-10,5,10,0,0,33.33,N
5967,2006-03-01,M16w,LWWLWLWLWWLLWWL,8-7,8,7,0,0,53.33,N
5967,2006-05-01,M14w,WLWWWLWLLLWLWWW,9-6,9,6,0,0,60.0,N
5967,2006-07-01,M9e,WWLLWLLLLWLWLLW,6-9,6,9,0,0,40.0,N
5967,2006-09-01,M12e,LWLLLLLWWWLLLLW,5-10,5,10,0,0,33.33,N
5967,2006-11-01,J1e,WLWWLWLLLWLWLWW,8-7,8,7,0,0,53.33,N
5967,2007-01-01,M13w,LWLWWWLLWLLWLWW,8-7,8,7,0,0,53.33,N
5967,2007-03-01,M12w,LLWLLLWLLWLWLWL,5-10,5,10,0,0,33.33,N
5967,2007-05-01,J1e,WWLWWLLWLWWLWLL,8-7,8,7,0,0,53.33,N
5967,2007-07-01,M13e,LLWWLWWLLWLWLLL,6-9,6,9,0,0,40.0,N
5967,2007-09-01,M15w,LWWWWLLWLWWWWWL,10-5,10,5,0,0,66.67,Y
5967,2007-11-01,M10w,WLLWLLLLLWLLLWL,4-11,4,11,0,0,26.67,N
5967,2008-01-01,M15w,LWLLWWLLLWWWWWL,8-7,8,7,0,0,53.33,Y
5967,2008-03-01,M12w,LLLLWWWLLLWLWWL,6-9,6,9,0,0,40.0,N
5967,2008-05-01,M14w,LWLLLLWWLWLWWWL,7-8,7,8,0,0,46.67,N
5967,2008-07-01,M15e,LLWLWWLLWWWWWLL,8-7,8,7,0,0,53.33,Y
5967,2008-09-01,M11e,LLLLLWLWWWLWWWL,7-8,7,8,0,0,46.67,N
5967,2008-11-01,M12e,WWWLWLWWWLWWWWL,11-4,11,4,0,0,73.33,Y
5967,2009-01-01,M2w,WLLLLWLLWLWLWWL,6-9,6,9,0,0,40.0,N
5967,2009-03-01,M4w,WLLLWLWLWLWWLWL,7-8,7,8,0,0,46.67,N
5967,2009-05-01,M5w,LLLLLWWLWLLLWLL,4-11,4,11,0,0,26.67,N
5967,2009-07-01,M12w,LLWWLWWLWLLLWLL,6-9,6,9,0,0,40.0,N
5967,2009-09-01,M15e,WLLLWWWWWLWWLWL,9-6,9,6,0,0,60.0,Y
5967,2009-11-01,M9e,WWWWWWWLWWLLLWL,10-5,10,5,0,0,66.67,Y
5967,2010-01-01,M5e,LLLWLLWWWWLLLLW,6-9,6,9,0,0,40.0,Y
5967,2010-03-01,M9w,LLLLLWLWWWLWLLL,5-10,5,10,0,0,33.33,N
5967,2010-05-01,M13e,WLWWWLWWLLWWLLW,9-6,9,6,0,0,60.0,N
5967,2010-07-01,M8w,LLWLLLLLLLWWWLW,5-10,5,10,0,0,33.33,N
5967,2010-09-01,M11w,WWWWWWWLLWWWWLL,11-4,11,4,0,0,73.33,Y
5967,2010-11-01,M5e,WWWLWWLLLLLWLWW,8-7,8,7,0,0,53.33,N
5967,2011-01-01,M2w,LLLLLLLLWLWLLWW,4-11,4,11,0,0,26.67,N
5967,2011-05-01,M7w,WLWWLWWWWLLLLWW,9-6,9,6,0,0,60.0,Y
5967,2011-07-01,M1w,WLLLLLLLWLWWWWW,7-8,7,8,0,0,46.67,Y
5967,2011-09-01,M2w,LLWLLWWWLLWLLWL,6-9,6,9,0,0,40.0,N
5967,2011-11-01,M5w,WLLWLWLLWWWLLWL,7-8,7,8,0,0,46.67,N
5967,2012-01-01,M6e,WLLLWLWWWLWWLWW,9-6,9,6,0,0,60.0,N
5967,2012-03-01,M2w,LLLLWLWLWLLLAFF,3-10-2,3,9,2,1,25.0,N
5967,2012-05-01,M9w,LLLLLWWWWLWWWWL,8-7,8,7,0,0,53.33,Y
5967,2012-07-01,M8e,LWLWWLLWWLLWWLL,7-8,7,8,0,0,46.67,N
5967,2012-09-01,M10e,LLWLWWWLWLWLLWL,7-8,7,8,0,0,46.67,N
5967,2012-11-01,M10w,LWWWWWLWLLLLLWW,8-7,8,7,0,0,53.33,Y
5967,2013-01-01,M8e,LLLLLWWWLWWLLWW,7-8,7,8,0,0,46.67,N
5967,2013-03-01,M9w,LWWLWLWWLWWLWLW,9-6,9,6,0,0,60.0,N
5967,2013-05-01,M6e,LLWWLWLLWWWLLWL,7-8,7,8,0,0,46.67,N
5967,2013-07-01,M7w,WLWWLWLLLLWWWLL,7-8,7,8,0,0,46.67,N
5967,2013-09-01,M8w,WWWWWLWLLLAFFFF,6-5-4,6,4,4,1,60.0,Y
5967,2013-11-01,M13e,LWLLLWLLWWLWWWW,8-7,8,7,0,0,53.33,Y
5967,2014-01-01,M11w,WLWWLLWWWWWWWLL,10-5,10,5,0,0,66.67,Y
5967,2014-03-01,M4e,LWWLWWWLWWLLWWW,10-5,10,5,0,0,66.67,N
5967,2014-05-01,K1e,WLLLLWWLLLWLWLW,6-9,6,9,0,0,40.0,N
5967,2014-07-01,M2w,WLWWLWLLWLLLWLW,7-8,7,8,0,0,46.67,N
5967,2014-09-01,M3w,WLWWWLLWWLLLLLW,7-8,7,8,0,0,46.67,N
5967,2014-11-01,M4w,LLLAFFFLLLWWWWL,4-8-3,4,7,3,1,36.36,Y
5967,2015-01-01,M11w,LWLWWLLWLWWWWLL,8-7,8,7,0,0,53.33,Y
5967,2015-03-01,M9e,LLWWLLLWLLLLWLW,5-10,5,10,0,0,33.33,N
5967,2015-05-01,M14e,WWWLWLLWWWWWLWL,10-5,10,5,0,0,66.67,Y
5967,2015-07-01,M8e,WLWLWWWWWLWWWWW,12-3 J,12,3,0,0,80.0,Y
5967,2015-09-01,M1w,LWWLWWWLWLWWWWW,11-4,11,4,0,0,73.33,Y
5967,2015-11-01,K1w,WWLLWLWWWLLWLWL,8-7,8,7,0,0,53.33,N
5967,2016-01-01,S1w,LWLWWWLLWLWLWLW,8-7,8,7,0,0,53.33,N
5967,2016-03-01,S1e,LLLWLWLLLLLLWLW,4-11,4,11,0,0,26.67,N
5967,2016-05-01,M4e,LLWWLLLLWWWWLLW,7-8,7,8,0,0,46.67,Y
5967,2016-07-01,M5w,WWWWLWLWWLLWWWL,10-5,10,5,0,0,66.67,Y
5967,2016-09-01,M1w,WLLLWWLLWLLLWWW,7-8,7,8,0,0,46.67,N
5967,2016-11-01,M2w,WLLLLLLLWLWWWLW,6-9,6,9,0,0,40.0,N
5967,2017-01-01,M5w,WLWLLLLLWWWWLWW,8-7,8,7,0,0,53.33,Y
5967,2017-03-01,M4e,LWWLWLLWWWLWWLL,8-7,8,7,0,0,53.33,N
5967,2017-05-01,K1w,WLWWLWLLWLLWWWL,8-7,8,7,0,0,53.33,N
5967,2017-07-01,K1e,WWWWLLLLWWWWWLL,9-6,9,6,0,0,60.0,Y
5967,2017-09-01,S1w,LLLLWWWWWWWWLLL,8-7,8,7,0,0,53.33,Y
5967,2017-11-01,S1w,LLWWLLWWLWWLLLL,6-9,6,9,0,0,40.0,N
5967,2018-01-01,M2e,LLLWWWLLLWLLLLL,4-11,4,11,0,0,26.67,N
5967,2018-03-01,M7w,LWLWLLLLWLLWWWW,7-8,7,8,0,0,46.67,Y
5967,2018-05-01,M8e,WLLWWWLLWLLWLWW,8-7,8,7,0,0,53.33,N
5967,2018-07-01,M5w,LLLLLLLLLLLLLWW,2-13,2,13,0,0,13.33,N
5967,2018-09-01,M15w,WWWWWLLWLWLWWWW,11-4,11,4,0,0,73.33,Y
5967,2018-11-01,M4w,WLLWLWWLLWWWLLL,7-8,7,8,0,0,46.67,N
5967,2019-01-01,M5w,LLLLLWLLWLLLLLW,3-12,3,12,0,0,20.0,N
5967,2019-03-01,M12w,WLWLLWWWWWWWWLL,10-5,10,5,0,0,66.67,Y
5967,2019-05-01,M6w,LWLWLLLLLWLWLLL,4-11,4,11,0,0,26.67,N
5967,2019-07-01,M11e,FFFFFFFFFFFFFFF,0-0-15,0,0,15,0,0.0,N
5967,2019-09-01,J7w,FFFFF,0-0-5,0,0,5,0,0.0,N
5977,2004-03-01,Ms15TD,WFWFFWFLFWWFLFF,5-2,5,2,8,0,71.43,N
5977,2004-05-01,Ms9e,FLFWFWFLFWWFFLF,4-3,4,3,8,0,57.14,N
5977,2004-07-01,Ms2w,FLLFLFWFLFLFFFL,1-6,1,6,8,0,14.29,N
5977,2004-09-01,Ms21e,FWFAFFFWWFWFFFL,4-2-1,4,1,9,1,80.0,N
5977,2004-11-01,Ms18e,LFLFWFLFWFWFFLF,3-4,3,4,8,0,42.86,N
5977,2005-01-01,Ms24e,LFFWLFFLLFFWFWF,3-4,3,4,8,0,42.86,N
5977,2005-03-01,Ms33e,FWLFLFFWFWFWFFL,4-3,4,3,8,0,57.14,N
5977,2005-05-01,Ms27e,WFWFFWFLFWLFFWF,5-2,5,2,8,0,71.43,N
5977,2005-07-01,Ms16e,WFWFWFWFLFFWFFW,6-1,6,1,8,0,85.71,N
5977,2005-09-01,Ms6w,LFFWFWWFWFWFFFL,5-2,5,2,8,0,71.43,N
5977,2005-11-01,Ms2w,FLLFWFWFLFWFFFL,3-4,3,4,8,0,42.86,N
5977,2006-01-01,Ms5w,WFWFLFLFWFLFFWF,4-3,4,3,8,0,57.14,N
5977,2006-03-01,Ms1w,LFWFWFLFWFLFFFL,3-4,3,4,8,0,42.86,N
5977,2006-05-01,Ms4w,FLWFWFWFLFLFFFL,3-4,3,4,8,0,42.86,N
5977,2006-07-01,Ms8e,FLLFLFWFLFWFWFF,3-4,3,4,8,0,42.86,N
5977,2006-09-01,Ms13e,FWLFWFFWFWFLFWF,5-2,5,2,8,0,71.43,N
5977,2006-11-01,Ms6e,WFFWWFLFWFFWFFL,5-2,5,2,8,0,71.43,N
5977,2007-01-01,Ms2e,FWWFWFWLFFLFFFW,5-2,5,2,8,0,71.43,N
5977,2007-03-01,J13e,LLWWLWLLLLWWWLL,6-9,6,9,0,0,40.0,N
5977,2007-05-01,Ms2e,WFWFWFLFLFLFFFW,4-3,4,3,8,0,57.14,N
5984,2004-05-01,Jk9w,FWLFWFWFFWWFLFF,5-2,5,2,8,0,71.43,N
5984,2004-07-01,Jd92e,WFFWFWWFWFWFWFF,7-0 Y,7,0,8,0,100.0,N
5984,2004-09-01,Sd84w,FWFWWFWFFWFWWFF,7-0 D,7,0,8,0,100.0,N
5984,2004-11-01,Ms54e,WFFWFWFWFWFWWFF,7-0 Y,7,0,8,0,100.0,N
